dataID	context	indices_target_token	indices_target_sentence	lemma	group
310	"#Fantasy Recommendation by @user :Jackie #Bradley Jr. While the Red Sox season may b... #Alarm"	0:0	0:0		
84	@user and im seeing Ed live this Saturday at b'ham NIA! It would be amazing to get the book signed. Thanks for putting it together	0:0	0:0		
85	Church tonight, who will you bring????	0:0	0:0		
86	Q_Q Today was the day that Naruto shippuden: UNS4 was suppose to come out. WHYYYYYYY DID THEY PUSH IT ALL THE WAY TO JAN???? HELLO	0:0	0:0		
87	Pics of the March Fourth Marching Band at the Oregon Country Fair closing out the show Sunday night. Their...	0:0	0:0		
88	The audio booth is ready to blow the roof off the Comcast Center tomorrow! Are you? #MDMadness	0:0	0:0		
89	welllll who wants to see Ed Sheeran with me on the 17th????	0:0	0:0		
90	GOALdotCOM: Premier League Team of the Week: Van Persie & Aguero both star after City & Arsenal wins	0:0	0:0		
91	The Hitchhiker's Guide to the Galaxy Game - 30th Anniversary Edition Need to sign up with the BBC online.	0:0	0:0		
92	I'm seeing Ed Sheeran on Wednesday in Miami so if you wanna meet up or say hi hmu!	0:0	0:0		
93	Chuck Close shares his best-kept secrets with @user on the eve of his new show, opening Thursday @user	0:0	0:0		
59	Trump is holding informal policy sessions with confidants in the lead-up to the debate, including possible vice presidential contenders. Vance spoke with Trump about the economy and inflation, and Rubio met with Trump when the former president was in Washington, D.C., this month.	0:0	0:0		
94	Vermaelen the hero for Barca: Thomas Vermaelen was the unlikely hero as Barcelona laboured to a 1-0 home win over Malaga on Saturday ...	0:0	0:0		
95	@user I\u2019m sick with something ill be at school on Monday though	0:0	0:0		
96	There's something about Friday Night Lights, you just get chills thinking about it .	0:0	0:0		
60	His Saturday comments came during a stop at a Philadelphia restaurant ahead of a rally. Pennsylvania is expected to be a vital swing state on the road to the White House. Biden flipped Pennsylvania blue in 2020 and continues to campaign across the state as the election approaches.	0:0	0:0		
222	Dunkin tomorrow morning is@the only reason I'm getting out of bed	0:0	0:0		
61	What a difference not having Sterling on the pitch makes! Welbeck dragged wide 1st half, the Ox replaces Sterling, Welbeck down middle, goal	0:0	0:0		
62	Once a swashbuckling media company geared to a younger audience with an immersive storytelling style that encompassed digital, television and film outlets, New York-based Vice was valued at $5.7 billion in 2017.	0:0	0:0		
28	Vampettes we are back on the 21st place keep tweeting with the hashtag #MTVStars The Vamps #MTVStarsOf2015	0:0	0:0		
63	He said it was no longer cost-effective for Vice to distribute its digital content, including news, the way it has been. He said Vice would put more emphasis on its social channels and look for different ways to distribute its content.	0:0	0:0		
0	When Julian Assange published a huge cache of leaked files in 2010 that provoked global uproar over US tactics in foreign conflicts, he could hardly have foreseen the long legal battle ahead would culminate on a remote ocean archipelago.	0:0	0:0		
1	In 1975, residents of the islands voted to join the US as a territory, and this status was formalised in 1986. The change gave them a permanent delegate in the US House of Representatives and awarded residents of the islands US citizenship.	0:0	0:0		
2	Her team is made up of the people already appointed: the liberal Estonian Prime Minister Kaja Kallas is to be given the post of EU High Representative for Foreign Affairs. The former Portuguese Prime Minister António Costa will be President of the Heads of State and Government for two and a half years. The socialist will then be responsible for preparing and leading the EU summits.	0:0	0:0		
3	After the June summit, von der Leyen could be confirmed by the European Parliament as early as July 18. The rapid pace of the new appointments is due to the uncertain global situation, but also to the uncertain future of the balance of power in Paris and Berlin. At least the house in Brussels should be in order.	0:0	0:0		
4	The top positions in the EU should be evenly distributed regionally. This is now the case, with Estonian Kaja Kallas taking over as head of the foreign service alongside the German and Portuguese. The Prime Minister had unsuccessfully applied for the post of NATO Secretary General. She lost out to the Dutchman Mark Rutte. Now her chances are good.	0:0	0:0		
5	The sharp-tongued Kallas is a hawk when it comes to Russia policy. She would amplify the voice of those Eastern Europeans, the Poles, the Balts, but also the Romanians, who take a hard line against Putin. This was also a risk for her nomination. There are critics who accuse her of focusing her foreign policy too narrowly on her neighbor to the east. But the desire to strengthen Eastern Europe prevailed.	0:0	0:0		
29	I would also like to thank Professor Hai-Sui Yu who has led our institution and community throughout the intervening period with incredible skill, energy, and diplomacy. He has reinvigorated our approach to research, student education, staff engagement and strategic change and set the conditions for further success. I look forward to continuing to work with him in his interim role and thereafter as our excellent Provost and Deputy Vice-Chancellor.	0:0	0:0		
